2023-11-04,Kansas State vs Texas,FOX,12:00p,2.95,B12 vs  B12,Kansas State,Texas,B12,B12
2023-11-04,Oregon State vs Colorado,ESPN,10:00p,2.77,P12 vs  P12,Oregon State,Colorado,P12,P12
2023-11-04,Purdue vs Michigan,NBC,7:30p,2.6,B10 vs  B10,Purdue,Michigan,B10,B10
2023-11-04,Penn State vs Maryland,FOX,3:30p,2.39,B10 vs  B10,Penn State,Maryland,B10,B10
2023-11-11,Michigan vs Penn State,FOX,12:00p,9.16,B10 vs  B10,Michigan,Penn State,B10,B10
2023-11-11,Utah vs Washington,FOX,3:30p,5.17,P12 vs  P12,Utah,Washington,P12,P12
2023-11-11,Mississippi vs Georgia,ESPN,7:00p,4.83,SEC vs  SEC,Mississippi,Georgia,SEC,SEC
2023-11-11,Miami vs FSU,ABC,3:30p,4.14,ACC vs  ACC,Miami,FSU,ACC,ACC
2023-11-11,Tennessee vs Missouri,CBS,3:30p,3.62,SEC vs  SEC,Tennessee,Missouri,SEC,SEC
2023-11-11,Michigan State vs Ohio State,NBC,7:30p,3.57,B10 vs  B10,Michigan State,Ohio State,B10,B10
2023-11-11,USC vs Oregon,FOX,10:30p,3.01,P12 vs  P12,USC,Oregon,P12,P12
2023-11-11,Texas vs TCU,ABC,7:30p,2.82,B12 vs  B12,Texas,TCU,B12,B12
2023-11-11,Alabama vs Kentucky,ESPN,12:00p,2.76,SEC vs  SEC,Alabama,Kentucky,SEC,SEC
2023-11-11,West Virginia vs Oklahoma,FOX,7:00p,2.39,B12 vs  B12,West Virginia,Oklahoma,B12,B12
2023-11-18,Georgia vs Tennessee,CBS,3:00p,5.73,SEC vs  SEC,Georgia,Tennessee,SEC,SEC
2023-11-18,Michigan vs Maryland,FOX,12:30p,5.43,B10 vs  B10,Michigan,Maryland,B10,B10
2023-11-18,Washington vs Oregon State,ABC,7:30p,4.73,P12 vs  P12,Washington,Oregon State,P12,P12
2023-11-18,Louisville vs Miami,ABC,12:00p,2.89,ACC vs  ACC,Louisville,Miami,ACC,ACC
